`Date,Text,Score,Username
2025-04-05 04:17:43,game ini udh bagus tapi kan saya emang udah bisa main nya jadi mohon tidak usah ada petunjuk nya ya atau klo buat yang blm bisa dikasih petunjuk dlu sehari nah kalo udh sehari gak usah dikasih petunjuk lagi ya tapi yang lainnya udh bagus si,5,Moch Romli
2025-04-05 04:17:13,woi moonton knp di hack padahal GK gerakkkkk,1,fandy putra
2025-04-05 04:16:20,wow hebat,4,Norma Yunita
2025-04-05 04:15:41,sinyal nya jelek bet ajir,2,Akun ML Baruku
2025-04-05 04:15:15,saya sangat suka game ini karna seru,5,Fitri Desi
2025-04-05 04:15:07,banyak pelayer troll kalo dilporin gk direspon monton kasi turun keredit sekor ap liyane,1,Rizqul Mu'adhim
2025-04-05 04:12:55,"padahal sinyal nya bagus lo,tapi kok ngeleg 😤",2,siputra Arjuna
2025-04-05 04:12:07,game nya bagus,5,NIRWANA GROUP
2025-04-05 04:10:49,tolong perbaiki jaringan server ping bagus tp pas main patah-patah,1,arkan artanabil
2025-04-05 04:10:47,tolol game susah ga jelas ngeselin lagi harus kasi bintang 1,1,Putu Asmini
2025-04-05 04:10:26,saya kasi bitang satu karena saya di kasi tim lol,1,Yoga
2025-04-05 04:10:24,bagus bgt game nya tapi harga DM nya agak lumayan yah,5,Darma Putra
2025-04-05 04:09:30,game yang paling ngeselin yang pernah gua mainin dan paling emosian,1,Ikhsan Icang
2025-04-05 04:08:31,game rusakk...masa dari tadi udah main clasic dan menang terus tapi kredit skor gk naik....aduhhhh,2,Aditya
2025-04-05 04:07:54,game bagus TPI 2 akun saya hilang diambil org,5,Mahmud Aja
2025-04-05 04:07:38,Hero yg gak ngotak,1,Bumi Kediri
2025-04-05 04:07:21,tidak terlalu rame,1,Ade Suhendi
2025-04-05 04:07:17,"Dear,MOONTON tolong lah jangan bikin onar terus dengan alasan terinspirasi atau plagiat lah game ini terlalu mengikuti jejak developer game lain tolong kreatif dikit lah apalagi event Naruto itu ada efek loading nya sama kayak sebelah mending di hapus aja",1,aditya yoga pratama
